file_name,caption
horse-16.jpg,a brown horse running in a grassy field . 
bike_202.bmp,an orange bicycle parked in front of an iron fence . 
horse-63.jpg,a black horse standing on top of a grass covered hill . 
carsgraz_367.bmp,a car driving down a street past a billboard . 
dog.102.jpg,a close up of a dog wearing a collar . 
dog.89.jpg,a brown dog standing next to a black dog . 
bike_284.bmp,many different bicycles are parked on the side of the street . 
dog.93.jpg,a black and brown dog is holding a rope . 
rider-8.jpg,a woman in riding boots and riding pants walking across a field . 
0030.png,a close - up of a purple pansy flower . 
bike_083.bmp,a group of bicycles parked in a room . 
bike_316.bmp,there is a bicycle that has been knocked over . 
0024.png,a close - up of a white flower with water droplets on it . 
carsgraz_106.bmp,a car parked inside of a building next to a table . 
dog.185.jpg,a dog laying on the ground with a tag in its mouth . 
carsgraz_046.bmp,a street with a car parked on the side of the road . 
bike_176.bmp,a black bicycle parked in front of a white brick wall . 
0171.png,a close up view of a yellow flower . 
bike_244.bmp,a group of bicycles parked on the side of the road . 
cat.47.jpg,a cat sitting on top of a wooden railing . 
bike_149.bmp,a bicycle leaning up against a fire hydrant . 
horse-189.jpg,a close up of the head of a horse . 
horse-194.jpg,a black and white horse standing in the grass . 
bike_294.bmp,"a red , yellow , and blue bicycle parked on the sidewalk . "
bike_204.bmp,a bicycle parked on the side of the street . 
carsgraz_017.bmp,a car parked in the middle of a dirt field . 
0049.png,a close - up of a pink peony flower . 
0007.png,a close up view of a white flower . 
dog.41.jpg,a baby and a dog sitting next to each other 
cat.88.jpg,a cat laying on the ground next to a blanket . 
0129.png,a close - up of a pink peony flower . 
horse-140.jpg,a white horse running through the water on the beach 
rider-120.jpg,a man in white pants and a black jacket . 
cat.116.jpg,an orange and white kitten sitting on top of a purple blanket . 
carsgraz_347.bmp,a silver car parked in a driveway next to a building . 
0047.png,a close - up of a yellow flower in a field . 
rider-156.jpg,a woman in a green jacket holding a stick . 
horse-88.jpg,two horses standing in the grass with a foal . 
bike_024.bmp,a bicycle leaning up against the side of a building . 
bike_070.bmp,a bicycle locked to the side of the road . 
bike_322.bmp,two bicycles are parked next to a small trailer . 
carsgraz_105.bmp,a black car is parked in front of a building . 
rider-12.jpg,a man in black shirt and black boots standing in a field . 
carsgraz_358.bmp,an orange and white van parked on the side of the road . 
bike_007.bmp,a bicycle parked on the side of the road next to a tree . 
horse-15.jpg,a silhouette of a horse running in front of the setting sun . 
